gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,A & E PLASTIK PAK INC,AE.2,3089,P,01,LU,25881,23369,11/13/1970,6/30/1978
001001,A & M FOOD SERVICES INC,AMFD.,5812,P,01,LU,10015,6398,9/20/1983,7/31/1986
001002,AAI CORP,AAIC.1,3825,C,01,LC,10023,22159,12/14/1972,6/5/1973
001003,A.A. IMPORTING CO INC,ANTQ,5712,C,01,LU,10031,6672,12/7/1983,8/16/1989
001004,AAR CORP,AIR,5080,P,01,LU,54594,20000,4/24/1972,E
001005,A.B.A. INDUSTRIES INC,ABA.2,3724,C,01,LU,61903,11,1/31/1973,1/31/1983
001007,ABKCO INDUSTRIES INC,4135B,3652,P,01,LU,10058,20,1/31/1979,9/28/1984
001007,ABKCO INDUSTRIES INC,4135B,3652,C,00X,LU,10058,20,10/1/1973,1/30/1979
001008,ABM COMPUTER SYSTEMS INC,ABMC.,3577,P,01,LC,10066,6331,8/25/1983,2/26/1987
001009,ABS INDUSTRIES INC,ABSI.1,3460,C,01,LC,10074,5271,1/18/1982,3/13/1996
001010,ACF INDUSTRIES INC,4165A,3743,C,00X,LU,10006,22156,5/1/1950,1/30/1962
001010,ACF INDUSTRIES INC,4165A,3743,P,01,LU,10006,22156,1/31/1962,6/28/1984
001011,ACS ENTERPRISES INC,ACSE,4841,P,01,LC,10082,5793,3/21/1983,9/28/1995
001012,ACS INDUSTRIES INC,6927B,3357,P,01,LU,10103,52,1/31/1978,12/29/1989
001013,ADC TELECOMMUNICATIONS INC,ADCT.1,3661,P,01,LU,50906,2902,3/16/1979,12/31/2010
001015,ADI ELECTRONICS INC,4327B,3678,P,01,LU,66405,5204,1/29/1982,10/31/1986
001016,AEC INC,AECE,3585,C,00X,LC,10146,314,11/1/1973,11/29/1977
001016,AEC INC,AECE,3585,P,01,LC,10146,314,11/30/1977,4/26/1988
001017,AEL INDUSTRIES  -CL A,AELNA,3812,P,01,LC,10154,81,12/14/1972,2/29/1996
001018,AES TECHNOLOGY SYSTEMS INC,2938B,3861,C,01,LU,10162,88,1/31/1979,3/4/1981
001018,AES TECHNOLOGY SYSTEMS INC,2938B,3861,C,00X,LU,10162,88,7/1/1973,1/30/1979
001019,AFA PROTECTIVE SYSTEMS INC,AFAP,7380,C,01,LC,10189,93,12/14/1972,2/9/1988
001020,AFG INDUSTRIES INC,5548C,3211,P,02,LC,68806,100,12/14/1972,4/5/1988
001021,AFP IMAGING CORP,IWKS,3844,P,01,LU,10218,109,10/14/1980,3/19/1999
001022,AGM INDUSTRIES INC,AGMN.1,3714,P,01,LU,10234,118,8/31/1976,7/28/1983
001022,AGM INDUSTRIES INC,AGMN.1,3714,C,00X,LU,10234,118,7/1/1973,8/30/1976
001023,AGS COMPUTERS INC,AGS.2,5045,P,01,LU,66755,5542,6/9/1982,10/5/1988
001024,A I A INDUSTRIES INC,AIAQ,4522,P,01,LU,10269,6202,7/21/1983,9/28/1984
001025,A I C INTL INC,4225B,5040,C,01,LU,47351,306,1/31/1973,3/19/1985
001026,AID INC-DEL CL A,AIDCA,8062,P,01,LU,10277,134,12/14/1972,5/31/1978
001027,A I M COS,AIM.3,3330,P,01,LU,28601,23555,1/31/1966,5/28/1971
001028,AIM TELEPHONES INC,7547B,7385,P,01,LU,10285,5148,10/29/1981,1/31/1992
001029,A.I.N. LEASING CORP,AINSE,6794,P,01,LU,10293,6069,6/15/1983,10/31/1985
001030,A I T S INC,1410B,7990,C,01,LU,10306,145,1/31/1973,10/16/1974
001031,A J INDS INC,AJ.2,3990,C,00X,LU,10014,22157,4/1/1960,1/30/1966
001031,A J INDS INC,AJ.2,3990,P,01,LU,10014,22157,1/31/1966,3/31/1977
001034,ALPHARMA INC  -CL A,ALO.2,2834,P,01,LC,65832,20007,2/15/1984,12/29/2008
001036,UNITED DOMINION INDUSTRIES,UDI.,3443,C,01,LC,65453,20008,12/6/1983,5/31/2001
001037,AM COMMUNICATIONS INC,AMCM.,3663,C,01,LU,10314,255,10/7/1980,8/25/1988
001038,AMC ENTERTAINMENT INC -OLD,AEN.2,7830,P,01,LU,66413,6301,8/18/1983,12/31/2004
001039,AMC INVESTORS INC,AMC.3,2300,P,01,LC,50526,25132,4/29/1970,11/30/1979
001040,AMF INC,AMF.2,3949,P,01,LU,15763,22631,1/31/1962,10/31/1985
001040,AMF INC,AMF.2,3949,C,00X,LU,15763,22631,1/1/1950,1/30/1962
001042,AMI SYSTEMS INC,AMIS.1,3612,P,01,LU,10365,5554,6/21/1982,6/28/1985
001043,MULTIGRAPHICS INC,MTI.3,5040,C,01,LC,18980,20009,1/31/1962,4/27/1982
001043,MULTIGRAPHICS INC,MTI.3,5040,C,00X,LC,18980,20009,8/1/1949,1/30/1962
001043,MULTIGRAPHICS INC,MTI.3,5040,C,01,LC,80071,30061,12/6/1993,1/27/2000
001043,MULTIGRAPHICS INC,MTI.3,5040,C,01,LC,18980,20009,5/10/1984,5/19/1993
001044,AMK CORP,AMK.3,2011,C,01,LU,37591,21816,1/31/1968,6/30/1970
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,P,01,LC,21020,20010,1/31/1962,1/4/2012
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,C,00X,LC,21020,20010,1/1/1950,1/30/1962
001045,AMERICAN AIRLINES GROUP INC,AAL,4512,P,04,LC,21020,20010,12/9/2013,E
001046,AMS/REALSTAR INC,4303B,7372,P,01,LU,10373,7023,5/11/1984,5/31/1985
001047,ANEFCO INC,3050B,8711,C,01,LU,10381,3182,8/12/1981,5/31/1983
001049,APF ELECTRONICS,2952B,5040,P,01,LU,10400,304,1/30/1976,5/26/1982
001050,CECO ENVIRONMENTAL CORP,CECO,3564,P,01,LC,11499,176,11/28/1980,E
001051,API INSTRUMENTS CO,APW.1,3670,C,00X,LC,41961,24580,1/2/1968,12/31/1968
001052,API TRUST,APITS,6798,C,00X,LU,10402,311,4/1/1973,1/30/1979
001052,API TRUST,APITS,6798,P,01,LU,10402,311,1/31/1979,3/31/1983
001054,ASK GROUP INC,ASKI,7373,P,01,LU,10429,5118,10/1/1981,9/30/1994
001055,AST RESEARCH INC,ASTA.,3571,P,01,LU,85041,7357,12/20/1984,8/29/1997
001056,AEROFLEX INC,ARXX,3825,P,01,LC,62500,336,6/30/1977,8/15/2007
001056,AEROFLEX INC,ARXX,3825,C,00X,LC,62500,336,7/1/1973,6/29/1977
001057,ABEX CORP,8892A,3743,C,00X,LC,10030,22160,1/1/1964,1/30/1967
001057,ABEX CORP,8892A,3743,P,01,LC,10030,22160,1/31/1967,12/29/1967
001058,APL CORP,4328B,3089,C,01,LU,28636,23557,7/2/1962,10/30/1986
001059,A P S INC,APS.1,5010,P,01,LU,58958,25619,12/14/1972,3/31/1981
001061,ARI INDUSTRIES INC,ARII.,3823,C,00X,LU,10445,340,4/1/1973,1/30/1979
001061,ARI INDUSTRIES INC,ARII.,3823,P,01,LU,10445,340,1/31/1979,10/31/1980
001062,ASA GOLD AND PRECIOUS METALS,ASA,6799,P,01,LU,26649,20015,1/29/1965,E
001065,AT&E CORP,7200B,3663,C,01,LU,71239,5894,4/4/1983,7/19/1991
001066,ATE ENTERPRISES INC,ATEE,8741,C,01,LC,55335,1911,1/31/1984,12/4/1986
001067,ATI INC,ATQ.1,7389,P,01,LC,28652,23559,1/31/1966,1/30/1984
001067,ATI INC,ATQ.1,7389,C,00X,LC,28652,23559,7/2/1962,1/30/1966
001069,ATV SYSTEMS INC,ATVSQ,3578,C,01,LU,10480,6509,10/18/1983,10/16/1984
001070,AVC CORP,AVC.1,3714,C,00X,LC,21549,23079,1/1/1968,1/30/1968
001070,AVC CORP,AVC.1,3714,P,01,LC,21549,23079,1/31/1968,4/30/1981
001072,AVX CORP,AVX,3670,C,01,LC,81912,30930,8/15/1995,3/27/2020
001072,AVX CORP,AVX,3670,C,00X,LC,56899,25544,1/1/1973,3/29/1973
001072,AVX CORP,AVX,3670,C,01,LC,56899,25544,3/30/1973,1/18/1990
001073,AW COMPUTER SYSTEMS  -CL A,3AWCSA,7373,C,01,LU,10496,422,3/9/1981,8/28/1996
001074,AZL RESOURCES INC,AZL.,3523,P,01,LU,49648,25078,12/4/1969,12/31/1982
001075,PINNACLE WEST CAPITAL CORP,PNW,4911,P,01,LU,27991,21409,1/31/1962,E
001076,PROG HOLDINGS INC,PRG,6141,J,01,LC,10517,5674,1/1/1993,11/30/2010
001076,PROG HOLDINGS INC,PRG,6141,P,01,LC,10517,5674,12/1/2010,E
001076,PROG HOLDINGS INC,PRG,6141,P,01,LC,10517,5674,11/4/1982,12/31/1992
001076,PROG HOLDINGS INC,PRG,6141,J,02,LC,78049,5674,12/1/2010,12/10/2010
001076,PROG HOLDINGS INC,PRG,6141,P,02,LC,78049,5674,1/1/1993,11/30/2010
001076,PROG HOLDINGS INC,PRG,6141,N,02,LC,78049,5674,11/3/1992,12/31/1992
001077,AARONSON BROTHERS STORES CP,ARON.,5311,P,01,LU,10525,346,1/31/1979,9/30/1980
001077,AARONSON BROTHERS STORES CP,ARON.,5311,C,00X,LU,10525,346,7/1/1973,1/30/1979
001078,ABBOTT LABORATORIES,ABT,3845,P,01,LC,20482,20017,1/31/1962,E
001078,ABBOTT LABORATORIES,ABT,3845,C,00X,LC,20482,20017,1/1/1950,1/30/1962
001079,ARP CORP,ARPC.,3060,P,01,LC,10541,349,1/31/1969,9/30/1976
001079,ARP CORP,ARPC.,3060,C,00X,LC,10541,349,1/1/1961,1/30/1969
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,6792,C,00X,LU,28660,23561,10/1/1962,12/30/1963
001080,ABERDEEN PETROLEUM CORP-CL A,APT.A,6792,P,01,LU,28660,23561,12/31/1963,4/30/1976
001081,ABITIBI CONSOLIDATED INC,ABY.2,2621,P,01,LC,10560,20019,7/16/1987,10/26/2007
001082,SERVIDYNE INC,SERV.1,8700,P,01,LC,10568,5580,6/29/1982,8/31/2011
001083,ACA JOE INC,3ACAJC,5600,C,01,LC,44231,4531,8/31/1981,4/6/1988
001083,ACA JOE INC,3ACAJC,5600,C,01,LC,44231,4531,12/30/1977,1/31/1980
001086,AMETECH INC,3AMETE,4955,C,01,LU,76876,10835,6/28/1991,2/23/1994
001087,ACADIA PETROLEUM CORP,ACAD.,1311,P,01,LU,10584,30,3/3/1981,11/30/1983
001088,ACAPULCO RESTAURANTS,ALAR.1,5812,P,01,LC,10592,149,9/21/1978,2/5/1986
001089,ACCELERATORS INC,ACEL.1,3690,P,01,LC,10613,22208,12/14/1972,11/30/1979
001091,ACCO WORLD CORP,ACO.2,2780,P,01,LU,64688,5803,2/11/1983,7/31/1987
001092,ACCU TEST SYSTEMS INC,ACCUQ,1389,P,01,LU,10621,34,8/13/1981,4/29/1983
001093,ACCURAY CORP,ACRA.,3823,P,01,LC,10640,50,12/14/1972,3/31/1987
001094,ACETO CORP,ACETQ,5160,P,01,LC,10656,37,12/14/1972,10/2/2019
001095,ACKERLEY GROUP INC,AK,4833,P,01,LC,10123,9754,9/7/1989,6/14/2002
001097,ACMAT CORP  -CL A,ACMTA,6351,P,02,LC,11647,47,10/1/1994,12/3/2004
001097,ACMAT CORP  -CL A,ACMTA,6351,J,02,LC,11647,47,9/30/1987,9/30/1994
