Primary Dealer|Holding Company|Ticker|Start Date|End Date|Permco|gvkey
ABN AMRO INCORPORATED|N/A|ABN|9/29/1998|9/15/2006|31989|015504
AUBREY G. LANSTON & CO., INC.|Citigroup Inc.|C (NYSE)|5/19/1960|4/17/2000|20483|003243
BA Securities|Bank of America Corporation|BAC (NYSE)|4/18/1994|9/30/1997|437
Banc One|JPMorgan Chase & Co. (Acquired by JPMorgan Chase)|JPM (NYSE)|4/1/1999|8/1/2004|20436|002968
Bank of America|Bank of America Corporation|BAC (NYSE)|11/17/1971|4/15/1994|437|007647
Bank of America|Bank of America Corporation|BAC (NYSE)|5/17/1999|11/1/2010|3151|007647
Bank of Nova Scotia|The Bank of Nova Scotia (Scotiabank)|BNS (NYSE, TSX)|10/4/2011|Current|43264|015582
Bankers Trust|Deutsche Bank AG (Acquired by Deutsche Bank)|DB (XETRA)|5/19/1960|10/22/1997
Barclays|Barclays PLC|BARC (LSE)|4/1/1998|Current|20269|012673
Barclays De Zoete Wedd|Barclays PLC|BARC (LSE)|12/7/1989|6/30/1996|20269|012673
Bartow Leeds|Merrill Lynch|N/A|5/19/1960|6/14/1962
Bear Stearns|JPMorgan Chase & Co. (Acquired by JPMorgan Chase)|JPM (NYSE)|6/10/1981|10/1/2008
Becker Paribas Inc.|Banque Paribas|BNP (Euronext Paris)|11/17/1971|9/10/1984
BLYTH & CO., INC.|Merrill Lynch & Co., Inc|N/A|4/16/1962|1/14/1970
BLYTH EASTMAN DILLON CAPITAL MARKETS|Paine Webber Incorporated|PWJ|12/5/1974|12/31/1979
BMO (Bank of Montreal)|Bank of Montreal|BMO (NYSE, TSX)|10/4/2011|Current|29146|015580
BMO Nesbitt|Bank of Montreal|BMO (NYSE, TSX)|2/15/2000|3/31/2002|29146|015580
BNP Paribas|BNP Paribas Group|BNP (Euronext Paris)|9/15/2000|Current|29146|015580
BNY|Bank of New York Mellon Corporation|BK (NYSE)|8/1/1989|8/9/1990|20265|002019
Brophy, Gestal, Knight|N/A|N/A|5/8/1987|6/19/1988
BT Alex Brown|Deutsche Bank AG|DB (XETRA)|10/23/1997|6/4/1999|42291|015576
BZW|Barclays PLC|BARC (LSE)|7/1/1996|3/31/1998|20269|012673
CANTOR FITZGERALD & CO.|BGC Partners, Inc.|BGCP|8/1/2006|Current
CARROLL MCENTEE & MCGINLEY INC.|N/A|N/A|9/29/1976|5/6/1994
C.F. CHILDS & CO., INC|N/A|N/A|5/19/1960|6/29/1965
Chase|JPMorgan Chase & Co.|JPM (NYSE)|7/15/1970|4/30/2001
CHEMICAL SECURITIES INC|Chemical Bank Corporation|CHL (NYSE)|5/19/1960|3/31/1996
CIBC|Canadian Imperial Bank of Commerce|CM (NYSE, TSX)|3/27/1996|2/8/2007|29148|015581
Citigroup|Citigroup Inc.|C (NYSE)|6/15/1961|Current|20483|003243
CONTINENTAL BANK, NATIONAL ASSOC.|Continental Illinois Corporation|CIC|5/19/1960|8/30/1991
Country Natwest|NatWest Group plc (formerly RBS)|NWG (LSE)|9/29/1988|1/13/1989
Countrywide|Bank of America Corporation|BAC (NYSE)|1/15/2004|7/15/2008
Credit Suisse|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|10/12/1993|Current
CRT GOVERNMENT SECURITIES,INC.|Credit Suisse Group AG|CS|12/22/1987|7/5/1993
Daiwa|Daiwa Securities Group Inc.|8601 (Tokyo)|12/11/1986|Current
Dean Witter Reynolds|Morgan Stanley (historical)|MS (NYSE)|11/2/1977|4/30/1998
Deutsche Bank|Deutsche Bank AG|DBK (XETRA)|12/13/1990|Current|42291|015576
Dillon Read|UBS Group AG|UBSG (SIX Swiss Ex)|6/24/1988|9/2/1997
Discount Corp|N/A|N/A|5/19/1960|8/10/1993
DLJ|Credit Suisse Group AG (historical)|CSGN (SIX Swiss Ex)|3/6/1974|1/16/1985
DLJ|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|10/25/1995|12/31/2000
Dresdner Kleinwort|Dresdner Bank AG (historical, now part of Commerzbank)|CBK (XETRA)|5/8/1997|6/26/2009
Drexel Burnham|N/A|N/A|5/19/1960|3/28/1990
DW Rich|N/A|N/A|5/19/1960|12/31/1969
Eastbridge|N/A|N/A|6/18/1992|5/29/1998
FI Dupont|N/A|N/A|12/12/1968|7/18/1973
First Boston|Credit Suisse Group AG|CSGN (SIX Swiss Ex)|5/19/1960|10/11/1993
First Chicago|JPMorgan Chase & Co. (historical)|JPM (NYSE)|5/19/1960|3/31/1999
First Interstate|Wells Fargo & Company|WFC (NYSE)|7/31/1964|6/17/1988
First N.B. of Boston|Bank of America Corporation (historical)|BAC (NYSE)|3/21/1983|11/17/1985
First Pennco|N/A|N/A|3/7/1974|8/27/1980
Fuji|Mizuho Financial Group, Inc.|8411 (Tokyo)|12/28/1989|3/31/2002
Goldman Sachs|The Goldman Sachs Group, Inc.|GS (NYSE)|12/4/1974|Current|35048|114628
Greenwich|N/A|N/A|7/31/1984|4/1/2009
Harris|BMO Financial Group|BMO (NYSE, TSX)|7/15/1965|5/31/1995
HSBC|HSBC Holdings plc|HSBA (LSE)|5/9/1994|Current
Hutton|Citigroup Inc. (historical)|C (NYSE)|11/2/1977|12/31/1987
Irving|N/A|N/A|5/19/1960|7/31/1989
Jefferies|Jefferies Financial Group Inc.|JEF (NYSE)|6/18/2009|Current|21097|006682
JP Morgan|JPMorgan Chase & Co.|JPM (NYSE)|5/19/1960|Current
Kidder Peabody|General Electric Company (historical)|GE (NYSE)|2/7/1979|12/30/1994
Kleinwort Benson|N/A|N/A|2/13/1980|12/27/1989
Lehman|N/A|N/A|2/22/1973|1/29/1974
Lehman|N/A|N/A|11/25/1976|9/22/2008
LF Rothschild|N/A|N/A|12/11/1986|1/17/1989
Lloyds|Lloyds Banking Group plc|LLOY (LSE)|12/22/1987|4/28/1989
Malon Andrus|N/A|N/A|5/19/1960|11/24/1965
Manufac. Hanover|JPMorgan Chase & Co. (historical)|JPM (NYSE)|8/31/1983|12/31/1991
Merrill Lynch|N/A|MER|5/19/1960|2/11/2009|
Merrill Lynch|Bank of America Corporation|BAC (NYSE)|11/1/2010|Current|3151|007647
MF Global|N/A|N/A|2/2/2011|10/31/2011
Midland-Montagu|HSBC Holdings plc (historical)|HSBA (LSE)|8/13/1975|7/26/1990
Mizuho|Mizuho Financial Group, Inc.|8411 (Tokyo)|4/1/2002|Current
Morgan Stanley|Morgan Stanley|MS (NYSE)|2/1/1978|Current|21224|012124
NationsBanc|Bank of America Corporation|BAC (NYSE)|7/6/1993|5/16/1999
Nesbitt Burns|Bank of Montreal|BMO (NYSE, TSX)|6/1/1995|2/14/2000|29146|015580
Nikko|Citigroup Inc. (historical)|C (NYSE)|12/22/1987|1/3/1999
Nomura|Nomura Holdings, Inc.|8604 (Tokyo)|7/27/2009|Current
Nomura|Nomura Holdings, Inc.|8604 (Tokyo)|12/11/1986|11/30/2007
Northern Trust|Northern Trust Corporation|NTRS (NASDAQ)|8/8/1973|5/29/1986|3275|007982
Nuveen|TIAA (historical)|N/A|11/18/1971|8/27/1980
NY Hanseatic|N/A|N/A|2/8/1984|7/26/1984
Paine Webber|UBS Group AG|UBSG (SIX Swiss Ex)|6/22/1972|6/27/1973
Paine Webber|UBS Group AG|UBSG (SIX Swiss Ex)|11/25/1976|12/4/2000
Paribas|BNP Paribas Group|BNP (Euronext Paris)|5/1/1997|9/14/2000
Pollock|N/A|N/A|5/19/1960|2/3/1987
Prudential|Prudential Financial Inc.|PRU (NYSE)|10/29/1975|12/1/2000|42524|143356
REFCO|N/A|N/A|11/19/1980|5/7/1987
Robertson Stephens|N/A|N/A|10/1/1997|9/30/1998
Royal Bank of Canada|Royal Bank of Canada|RY (NYSE, TSX)|7/8/2009|Current|29151|015633
Salomon Smith Barney|Citigroup Inc. (historical)|C (NYSE)|5/19/1960|4/6/2003
Sanwa|N/A|N/A|6/20/1988|7/20/1998
SBC|UBS Group AG (after merger with Union Bank of Switzerland)|UBS (NYSE)|3/29/1990|6/28/1998
Second District|N/A|N/A|6/15/1961|8/27/1980
Securities Groups|N/A|N/A|5/19/1960|6/5/1983
Security Pacific|Bank of America Corporation (after acquisition)|BAC (NYSE)|12/11/1986|1/17/1991
SG Americas|Société Générale S.A.|GLE (Euronext Paris)|2/2/2011|Current
SG Americas|Société Générale S.A.|GLE (Euronext Paris)|2/2/2011|Current
SG Cowen|Société Générale S.A. (historical)|GLE (Euronext Paris)|7/1/1999|10/31/2001
SG Warburg|UBS Group AG (after acquisition)|UBS (NYSE)|6/24/1988|7/26/1995
Smith Barney|Citigroup Inc. (historical)|C (NYSE)|8/22/1979|8/31/1998
Souther Cal. S&L|N/A|N/A|6/7/1983|8/5/1983
TD|The Toronto-Dominion Bank|TD (NYSE, TSX)|2/11/2014|Current|29152|015706
The Royal Bank of Scotland|NatWest Group plc|NWG (LSE)|4/1/2009|Current
Thomson McKinnon|N/A|N/A|12/11/1986|7/7/1989
UBS|UBS Group AG|UBSG (SIX Swiss Ex)|12/7/1989|Current|37504|144496
Weeden|N/A|N/A|6/17/1976|5/15/1978
Wertheim Schroder|N/A|N/A|6/24/1988|11/8/1990
Westpac Pollock|Westpac Banking Corporation|WBK (NYSE)|2/4/1987|6/27/1990
White Weld|N/A|N/A|2/26/1976|4/18/1978
Yamaichi|N/A|N/A|9/29/1988|12/4/1997
Zions|Zions Bancorporation|ZION (NASDAQ)|8/11/1993|3/31/2002|21305|008007
